있다	To be
닮다	быть похожим (сходным)
담그다	погружать (в жидкость); солить
당기다	Pull
닿다	To reach, get to
대다	докладывать признаваться трогать снабжать сравнивать;귀에 ~
더불다	Join in, do together
더하다	Get worse
던지다	To throw
덜다	Save, lighten
덧붙이다	добавлять, прикреплять
덮다	To cover, veil
덮이다	Be covered
데려가다	Take with
데려오다	Go with
데리다	брать с собой
데우다	to warm, to heat up
도와주다	To help
되돌아보다	To look back on
들다	входить приступать требоваться возникать наступать совершать держать поднимать приводить кушать Means continuing the main verb’s action ;
들려오다	To echo (sound)
떠나오다	미국으로부터 to come back from the US
마르다	Become dry
마시다	To drink
마음먹다	Be determined to
마주치다	Collide with
마치다	кончать; заканчивать упираться; наталкиваться
막다	закрывать; затыкать; преграждать  запрещать отстоять
막히다	Be stopped up
만나다	Meet
만들다	To make
만들어지다	Make, create
만지다	To touch
말다	Cease 그만두다
말다	свёртывать, разбавлять, не делать, воздержаться ... 감다
말리다	отговаривать; не советовать унимат 싸움을 ~
말리다	сушить; высушивать; вялить, 빨래를 ~
말씀드리다	Speak (honor.)
말하다	Speak
맛보다	Taste
망설이다	Hesitate
망치다	亡－ (по)губить; приводить в негодность
맞다	Be right, correct; to match, be fitting for 답이 ~
맞다	Be struck,beaten 매를 ~
맞다	receive,welcome (note, usually this is 맞히다) 손님을 ~
맞서다	Stand opposite
맞이하다	Go to greet
맞추다	Adjust, adapt
맡기다	поручать кому; доверять;
맡다	брать на себя; принимать; получать; 담임을 ~
맡다	Smell 냄새를 ~
매다	завязывать; связывать 끈을 ~
매달리다	висеть; быть подвешенным; быть прикрепленным; быть добавленным (приложенным); быть привязанным (прикованным); опираться; полагаться; зависеть
매달다	вешать; подвешивать; приковывать; привязывать:  묶어서 드리우거나 걸다.
메우다	To carry,attach;put on 메다'의 사동사
맺다	завязывать; вязать
머무르다	останавливаться; топтаться на месте; ограничиваться
머물다	останавливаться; топтаться на месте; ограничиваться
먹고살다	Make one’s living
먹다	есть; курить; вдыхать  밥을 ~
먹다	оглохнуть 귀를 ~
먹이다	заставлять кого; есть (пить); угощать; кормить; поить;
먹히다	быть съеденным (выпитым); быть полученным
멈추다	прекращать(ся); переставать; останавливать(ся)
멎다	переставать; прекращаться; останавливаться
메다	брать (на плечи)нести (на плечах) 총을 ~
모르다	To not know
모시다	заботиться; почитать; поклоняться; провожать; сопровождать; помещать; устраивать
모여들다	gather,flock
모으다	gather,get together
모이다	Meet, assemble
모자라다	недоставать; не хватать; быть неразвитым
몰다	гнать; сгонять; загонять; отгонять; отпугивать
몰려들다	быть загнанным; входить гурьбой (толпой)
몰려오다	прийти гурьбой; подбежать гурьбой
무너지다	рушиться; обваливаться; отходит
묵다	быть старым, 오래된 상태
묵다	ночевать; останавливаться. s.w. 머무르다
묶다	связывать; перевязывать
묶이다	Be fastened together
묻다	спрашивать; расследовать 길을 ~
물어보다	Ask
묻다	приставать; прилипать 옷에 흙이 ~
묻다	зарывать; закапывать;прятать 시체를 ~
묻히다	намазывать, обмазывать, обваливать в  옷에 흙을 ~
묻히다	быть закрытым (закопанным, погребённым) 땅에 ~
물다	держать (во рту, в клюве); кусаться; хватать 담배를 ~
물러나다	Fall off
미루다	Postpone ; (2) to guess, infer and make an educated guess
미치다	To reach 닿다
미치다	Be crazy 정신에 이상이 생기다
믿다	Believe
믿어지다	Become believable
밀다	push,shove
밀리다	to be left undone, to be late in making a payment (to fall into arrears) (2) to be pushed, shoved 방세가 ~
바꾸다	change,exchange
바뀌다	Be changed
바라다	Wish, hope
바라보다	Look at, watch ; to look forward to, hope for
바로잡다	Straighten
바르다	Spread, apply 벽지를 ~
박다	Drive,hammer in
박히다	Be nailed in
반기다	Rejoice, be glad of
반짝거리다	Twinkle-twinkle (stars)
반짝이다	Shine, glitter
받다	Receive 선물을 ~
받아들이다	Accept
밝다	To be bright
밝아지다	Become bright
밝혀내다	To find out
밝히다	To light up
밟다	ступать; наступать; топтать
밤새다	To stay up all night
밤새우다	не смыкать глаз всю ночь, провести бессонную ночь
배다	Soak into 땀이 ~
배우다	To learn
뱉다	выплёвывать; выкладывать
버려지다	Take away, throw away to somewhere
버리다	(following a verb) the verb\\'s action is over, perhaps in a sad way
버리다	Throw away
버티다	Endure, tolerate
벌다	To earn (money) ; (2) to invite, to bring onto oneself 돈을 ~
벌리다	Open, wide 입을 ~
벌어지다	To get serious, enlarge 싸움이 ~
벌어지다	Widen, get wider 틈이 ~
